wine_type,country,grape,year,wine_rating,rating_count,price,light_bold,smooth_tannic,dry_sweet,soft_acidic,taste_count,wine_age,geo_region
Red,Spain,Caiño tinto,2017,4,138,30.85,51.6963,38.7409,9.15318,51.9199,181,4,S Europe
White,France,Blend,2014,4,31,73.92,57.64164538,47.91798617,10.98216313,55.38421874,139,7,W Europe
White,Spain,Macabeo,2016,3.9,32,72,57.64164538,47.91798617,10.98216313,55.38421874,45,5,S Europe
Red,Australia,Cabernet Sauvignon,2018,4.1,34,104.99,71.5508,66.5887,9.16129,52.8387,68,3,Oceania
White,Austria,Riesling,2019,4.4,90,87.17,55.3505,47.91798617,8.91057,84.2121,329,2,C/E Europe
Red,Spain,Blend,2019,4.1,51,42.92,85,61.5114,10.6682,67.0733,766,2,S Europe
Red,Australia,Grenache,2001,4.3,43,93,57.64164538,47.91798617,10.98216313,55.38421874,348,20,Oceania
Red,France,Blend,1998,4.2,48,78,71.408,68.7866,5.19015,70.5026,374,23,W Europe
Red,Argentina,Malbec,2015,3.6,5116,33.56,58.4672,32.6243,20.1844,37.2495,4365,6,S America
White,Italy,Chardonnay,2008,4.4,70,94.99,69.6527,47.91798617,8.77441,35.3968,489,13,S Europe
Red,France,Blend,2012,3.5,135,50.15,74.8813,78.0113,0,73.5895,253,9,W Europe
Red,Australia,Shiraz/Syrah,2014,3.5,280,36,85,49.4323,21.8077,44.5214,344,7,Oceania
Red,New Zealand,Pinot Noir,2017,3.6,676,28.05,19.3696,22.3851,3.2334,64.7856,780,4,Oceania
Red,Australia,Blend,2015,3.7,38,60,85,52.0417,7.43704,40.9778,46,6,Oceania
White,France,Blend,2019,4.1,415,61.86,57.64164538,47.91798617,10.98216313,55.38421874,247,2,W Europe
Red,France,Shiraz/Syrah,2018,4.1,104,71,65.0687,47.9485,3.66721,46.0844,385,3,W Europe
Red,France,Pinot Noir,2016,3.8,29,43.3,37.7882,28.9474,3.51542,73.1753,84,5,W Europe
White,New Zealand,Sauvignon Blanc,2020,3.9,132,49,35.1426,47.91798617,6.46552,75.9812,242,1,Oceania
Red,United States,Cabernet Sauvignon,2011,3.6,70,89.88,85,51.3997,2.98222,50.721,323,10,N America
Red,France,Gamay,2019,3.8,711,52,2.3933,13.1409,7.02226,83.6597,386,2,W Europe
Red,France,Gamay,2017,3.9,166,68,2.09664,12.4139,3.92197,83.9525,229,4,W Europe
Red,Italy,Barbera,2018,3.9,60,62,60.427,23.2854,6.63652,62.3716,90,3,S Europe
Red,Italy,Blend,2016,4,58,100,84.2822,25.3869,48.861,25.8247,407,5,S Europe
White,France,Blend,2019,3.8,198,27.84,57.64164538,47.91798617,10.98216313,55.38421874,313,2,W Europe
White,Italy,Coda di Volpe Biancha,2019,4.2,93,73.4,63.2927,47.91798617,4.34952,38.4592,269,2,S Europe
Red,Italy,Nebbiolo,2019,3.6,93,49,56.2923,80.4631,0.727175,82.6914,151,2,S Europe
